1/2            1              1.5            2.0            3              Vp_SW100       Vs_SW100       Rho_SW100      Vp_CO250       Vs_CO250       Rho_CO250
        16.000         16.000         16.000         16.000         16.000     1500.00000      500.00000        1.94851     1500.00000      500.00000        1.94851
        16.125         16.125         16.125         16.125         16.125     1500.06216      500.04136        1.94853     1500.06216      500.04136        1.94853
        16.250         16.250         16.250         16.250         16.250     1500.12433      500.08271        1.94855     1500.12433      500.08271        1.94855
        16.375         16.375         16.375         16.375         16.375     1500.18649      500.12407        1.94857     1500.18649      500.12407        1.94857
        16.500         16.500         16.500         16.500         16.500     1500.24865      500.16542        1.94859     1500.24865      500.16542        1.94859
        16.625         16.625         16.625         16.625         16.625     1500.31082      500.20678        1.94862     1500.31082      500.20678        1.94862
        16.750         16.750         16.750         16.750         16.750     1500.37298      500.24814        1.94864     1500.37298      500.24814        1.94864
        16.875         16.875         16.875         16.875         16.875     1500.43514      500.28949        1.94866     1500.43514      500.28949        1.94866
        17.000         17.000         17.000         17.000         17.000     1500.49730      500.33085        1.94868     1500.49730      500.33085        1.94868
        17.125         17.125         17.125         17.125         17.125     1500.55947      500.37221        1.94870     1500.55947      500.37221        1.94870
        17.250         17.250         17.250         17.250         17.250     1500.62163      500.41356        1.94872     1500.62163      500.41356        1.94872
        17.375         17.375         17.375         17.375         17.375     1500.68379      500.45492        1.94874     1500.68379      500.45492        1.94874
        17.500         17.500         17.500         17.500         17.500     1500.74596      500.49627        1.94876     1500.74596      500.49627        1.94876
        17.625         17.625         17.625         17.625         17.625     1500.80812      500.53763        1.94879     1500.80812      500.53763        1.94879
        17.750         17.750         17.750         17.750         17.750     1500.87028      500.57899        1.94881     1500.87028      500.57899        1.94881
        17.875         17.875         17.875         17.875         17.875     1500.93245      500.62034        1.94883     1500.93245      500.62034        1.94883
        18.000         18.000         18.000         18.000         18.000     1500.99461      500.66170        1.94885     1500.99461      500.66170        1.94885
        18.125         18.125         18.125         18.125         18.125     1501.05677      500.70305        1.94887     1501.05677      500.70305        1.94887
        18.250         18.250         18.250         18.250         18.250     1501.11893      500.74441        1.94889     1501.11893      500.74441        1.94889
        18.375         18.375         18.375         18.375         18.375     1501.18110      500.78577        1.94891     1501.18110      500.78577        1.94891
        18.500         18.500         18.500         18.500         18.500     1501.24326      500.82712        1.94894     1501.24326      500.82712        1.94894
        18.625         18.625         18.625         18.625         18.625     1501.30542      500.86848        1.94896     1501.30542      500.86848        1.94896
        18.750         18.750         18.750         18.750         18.750     1501.36759      500.90984        1.94898     1501.36759      500.90984        1.94898
        18.875         18.875         18.875         18.875         18.875     1501.42975      500.95119        1.94900     1501.42975      500.95119        1.94900
        19.000         19.000         19.000         19.000         19.000     1501.49191      500.99255        1.94902     1501.49191      500.99255        1.94902
        19.125         19.125         19.125         19.125         19.125     1501.55408      501.03390        1.94904     1501.55408      501.03390        1.94904
        19.250         19.250         19.250         19.250         19.250     1501.61624      501.07526        1.94906     1501.61624      501.07526        1.94906
        19.375         19.375         19.375         19.375         19.375     1501.67840      501.11662        1.94909     1501.67840      501.11662        1.94909
        19.500         19.500         19.500         19.500         19.500     1501.74057      501.15797        1.94911     1501.74057      501.15797        1.94911
        19.625         19.625         19.625         19.625         19.625     1501.80273      501.19933        1.94913     1501.80273      501.19933        1.94913
        19.750         19.750         19.750         19.750         19.750     1501.86489      501.24068        1.94915     1501.86489      501.24068        1.94915
        19.875         19.875         19.875         19.875         19.875     1501.92705      501.28204        1.94917     1501.92705      501.28204        1.94917
        20.000         20.000         20.000         20.000         20.000     1501.98922      501.32340        1.94919     1501.98922      501.32340        1.94919
        20.125         20.125         20.125         20.125         20.125     1502.05138      501.36475        1.94921     1502.05138      501.36475        1.94921
        20.250         20.250         20.250         20.250         20.250     1502.11354      501.40611        1.94924     1502.11354      501.40611        1.94924
        20.375         20.375         20.375         20.375         20.375     1502.17571      501.44747        1.94926     1502.17571      501.44747        1.94926
        20.500         20.500         20.500         20.500         20.500     1502.23787      501.48882        1.94928     1502.23787      501.48882        1.94928
        20.625         20.625         20.625         20.625         20.625     1502.30003      501.53018        1.94930     1502.30003      501.53018        1.94930
        20.750         20.750         20.750         20.750         20.750     1502.36220      501.57153        1.94932     1502.36220      501.57153        1.94932
        20.875         20.875         20.875         20.875         20.875     1502.42436      501.61289        1.94934     1502.42436      501.61289        1.94934
        21.000         21.000         21.000         21.000         21.000     1502.48652      501.65425        1.94936     1502.48652      501.65425        1.94936
        21.125         21.125         21.125         21.125         21.125     1502.54868      501.69560        1.94938     1502.54868      501.69560        1.94938
        21.250         21.250         21.250         21.250         21.250     1502.61085      501.73696        1.94941     1502.61085      501.73696        1.94941
        21.375         21.375         21.375         21.375         21.375     1502.67301      501.77831        1.94943     1502.67301      501.77831        1.94943
        21.500         21.500         21.500         21.500         21.500     1502.73517      501.81967        1.94945     1502.73517      501.81967        1.94945
        21.625         21.625         21.625         21.625         21.625     1502.79734      501.86103        1.94947     1502.79734      501.86103        1.94947
        21.750         21.750         21.750         21.750         21.750     1502.85950      501.90238        1.94949     1502.85950      501.90238        1.94949
        21.875         21.875         21.875         21.875         21.875     1502.92166      501.94374        1.94951     1502.92166      501.94374        1.94951
        22.000         22.000         22.000         22.000         22.000     1502.98383      501.98510        1.94953     1502.98383      501.98510        1.94953
        22.125         22.125         22.125         22.125         22.125     1503.04599      502.02645        1.94956     1503.04599      502.02645        1.94956
        22.250         22.250         22.250         22.250         22.250     1503.10815      502.06781        1.94958     1503.10815      502.06781        1.94958
        22.375         22.375         22.375         22.375         22.375     1503.17031      502.10916        1.94960     1503.17031      502.10916        1.94960
        22.500         22.500         22.500         22.500         22.500     1503.23248      502.15052        1.94962     1503.23248      502.15052        1.94962
        22.625         22.625         22.625         22.625         22.625     1503.29464      502.19188        1.94964     1503.29464      502.19188        1.94964
        22.750         22.750         22.750         22.750         22.750     1503.35680      502.23323        1.94966     1503.35680      502.23323        1.94966
        22.875         22.875         22.875         22.875         22.875     1503.41897      502.27459        1.94968     1503.41897      502.27459        1.94968
        23.000         23.000         23.000         23.000         23.000     1503.48113      502.31594        1.94971     1503.48113      502.31594        1.94971
        23.125         23.125         23.125         23.125         23.125     1503.54329      502.35730        1.94973     1503.54329      502.35730        1.94973
        23.250         23.250         23.250         23.250         23.250     1503.60546      502.39866        1.94975     1503.60546      502.39866        1.94975
        23.375         23.375         23.375         23.375         23.375     1503.66762      502.44001        1.94977     1503.66762      502.44001        1.94977
        23.500         23.500         23.500         23.500         23.500     1503.72978      502.48137        1.94979     1503.72978      502.48137        1.94979
        23.625         23.625         23.625         23.625         23.625     1503.79195      502.52273        1.94981     1503.79195      502.52273        1.94981
        23.750         23.750         23.750         23.750         23.750     1503.85411      502.56408        1.94983     1503.85411      502.56408        1.94983
        23.875         23.875         23.875         23.875         23.875     1503.91627      502.60544        1.94986     1503.91627      502.60544        1.94986
        24.000         24.000         24.000         24.000         24.000     1503.97843      502.64679        1.94988     1503.97843      502.64679        1.94988
        24.125         24.125         24.125         24.125         24.125     1504.04060      502.68815        1.94990     1504.04060      502.68815        1.94990
        24.250         24.250         24.250         24.250         24.250     1504.10276      502.72951        1.94992     1504.10276      502.72951        1.94992
        24.375         24.375         24.375         24.375         24.375     1504.16492      502.77086        1.94994     1504.16492      502.77086        1.94994
        24.500         24.500         24.500         24.500         24.500     1504.22709      502.81222        1.94996     1504.22709      502.81222        1.94996
        24.625         24.625         24.625         24.625         24.625     1504.28925      502.85357        1.94998     1504.28925      502.85357        1.94998
        24.750         24.750         24.750         24.750         24.750     1504.35141      502.89493        1.95000     1504.35141      502.89493        1.95000
        24.875         24.875         24.875         24.875         24.875     1504.41358      502.93629        1.95003     1504.41358      502.93629        1.95003
        25.000         25.000         25.000         25.000         25.000     1504.47574      502.97764        1.95005     1504.47574      502.97764        1.95005
        25.125         25.125         25.125         25.125         25.125     1504.53790      503.01900        1.95007     1504.53790      503.01900        1.95007
        25.250         25.250         25.250         25.250         25.250     1504.60006      503.06036        1.95009     1504.60006      503.06036        1.95009
        25.375         25.375         25.375         25.375         25.375     1504.66223      503.10171        1.95011     1504.66223      503.10171        1.95011
        25.500         25.500         25.500         25.500         25.500     1504.72439      503.14307        1.95013     1504.72439      503.14307        1.95013
        25.625         25.625         25.625         25.625         25.625     1504.78655      503.18442        1.95015     1504.78655      503.18442        1.95015
        25.750         25.750         25.750         25.750         25.750     1504.84872      503.22578        1.95018     1504.84872      503.22578        1.95018
        25.875         25.875         25.875         25.875         25.875     1504.91088      503.26714        1.95020     1504.91088      503.26714        1.95020
        26.000         26.000         26.000         26.000         26.000     1504.97304      503.30849        1.95022     1504.97304      503.30849        1.95022
        26.125         26.125         26.125         26.125         26.125     1505.03521      503.34985        1.95024     1505.03521      503.34985        1.95024
        26.250         26.250         26.250         26.250         26.250     1505.09737      503.39120        1.95026     1505.09737      503.39120        1.95026
        26.375         26.375         26.375         26.375         26.375     1505.15953      503.43256        1.95028     1505.15953      503.43256        1.95028
        26.500         26.500         26.500         26.500         26.500     1505.22170      503.47392        1.95030     1505.22170      503.47392        1.95030
        26.625         26.625         26.625         26.625         26.625     1505.28386      503.51527        1.95032     1505.28386      503.51527        1.95032
        26.750         26.750         26.750         26.750         26.750     1505.34602      503.55663        1.95035     1505.34602      503.55663        1.95035
        26.875         26.875         26.875         26.875         26.875     1505.40818      503.59799        1.95037     1505.40818      503.59799        1.95037
        27.000         27.000         27.000         27.000         27.000     1505.47035      503.63934        1.95039     1505.47035      503.63934        1.95039
        27.125         27.125         27.125         27.125         27.125     1505.53251      503.68070        1.95041     1505.53251      503.68070        1.95041
        27.250         27.250         27.250         27.250         27.250     1505.59467      503.72205        1.95043     1505.59467      503.72205        1.95043
        27.375         27.375         27.375         27.375         27.375     1505.65684      503.76341        1.95045     1505.65684      503.76341        1.95045
